Producto,URL,Precio
"Lenovo ThinkPad x230 Intel i5 3rd gen 4gb RAM 320gb HDD Windows 7 + adaptador 12,5",https://www.ebay.com/itm/Lenovo-Thinkpad-X230-Intel-i5-3rd-Gen-4GB-RAM-320GB-HDD-Windows7-adapter-12-5/253565218402?hash=item3b09aa2e62:g:3twAAOSwjfdcHRrf,USD169.89
"ANUNCIO NUEVODell Latitude E5440 14.0"" Computadora portátil | 2.1GHz Dual Core i7-4600U | 4gb DDR3 | Dvd-rw",https://www.ebay.com/itm/Dell-Latitude-E5440-14-0-Laptop-2-1GHz-Dual-Core-i7-4600U-4gb-DDR3-DVD-RW/382848335751?hash=item592389ff87:g:pyEAAOSwyhVcj-IX,USD259.99
"7"" pulgadas Netbook Computadora portátil desarrollado por Android 5.1, Hdmi, Cámara, 1gb Ram, 8gb ROM, Wifi",https://www.ebay.com/itm/7-Inch-Netbook-Laptop-Powered-by-Android-5-1-HDMI-Camera-1gb-Ram-8gb-Rom-Wifi/253710963691?hash=item3b125a13eb:m:mMo0f8VK5mmFAfDVleBdFTA,USD90.27
"ANUNCIO NUEVONuevo 2018 Lenovo Yoga 730 2 en 1 15.6"" FHD in-plane conmutación Pantalla táctil Laptop Intel i7-8550U",https://www.ebay.com/itm/New-2018-Lenovo-Yoga-730-2-in-1-15-6-FHD-IPS-Touch-Screen-Laptop-Intel-i7-8550U/113691003711?epid=6024812155&hash=item1a78830b3f:g:pQoAAOSw-R5ckAb3,USD719.99
"ANUNCIO NUEVOAORUS Nvidia RTX 2070 16GB 15.6"" computadora portátil para juegos i7-8750H de Intel 15-X9-7UK0250W",https://www.ebay.com/itm/Aorus-NVIDIA-RTX-2070-16GB-15-6-Intel-i7-8750H-Gaming-Laptop-15-X9-7UK0250W/113690725731?hash=item1a787ecd63:g:zg8AAOSwZVpcj8Jw,USD3 166.17
Custom build Dell Latitude e5420 portátil i5-2520m SSD HDD 14 pulgadas win10 docking,https://www.ebay.com/itm/Custom-Build-Dell-Latitude-E5420-Laptop-i5-2520M-SSD-HDD-14-Zoll-Win10-Docking/253812820718?hash=item3b186c4aee:m:mpr48s98dGR8AgSp_bcV_YQ,USD168.76 a USD447.38
"ANUNCIO NUEVODell Latitude E5440 14"" Computadora portátil | 1.90GHz Dual Core i5-4300U | 8gb DDR3 | 320GB",https://www.ebay.com/itm/Dell-Latitude-E5440-14-Laptop-1-90GHz-Dual-Core-i5-4300U-8gb-DDR3-320GB/382848496419?epid=219529272&hash=item59238c7323:g:fTcAAOSw~jpcj~oS,USD181.99
"ANUNCIO NUEVOHP ENVY TouchSmart 15t-j100us. 15.6in (1TB, Intel Core i7 4th Gen., 2.4GHz, 1GB)",https://www.ebay.com/itm/HP-ENVY-TouchSmart-15t-j100us-15-6in-1TB-Intel-Core-i7-4th-Gen-2-4GHz-1GB/283422335980?epid=175260709&hash=item41fd49a3ec:g:j94AAOSwAx9cVyQW,USD340.00
"Custom build portatil HP EliteBook 8460p Intel i7-2620m SSD Windows 14,1 pulgadas",https://www.ebay.com/itm/Custom-Build-Laptop-HP-Elitebook-8460p-Intel-i7-2620M-SSD-Windows-14-1-Zoll/253644508775?hash=item3b0e640e67:m:m0YO8o97gIaKkatFLyn6wRA,USD317.13 a USD605.94
"Hp 255 G6 Laptop15.6"" AMD A6-9225 4gb Ram 1tb HD Dvdrw Freedos - sin Windows OS",https://www.ebay.com/itm/Hp-255-G6-Laptop15-6-AMD-A6-9225-4gb-Ram-1tb-HD-Dvdrw-Freedos-sin-Windows-OS/323718514185?epid=14029919045&hash=item4b5f208609:g:ZUIAAOSwE9hcXemf,USD308.64
14'' LED HD Pantalla Laptop Quad-core Netbook 2G+32G 64-bit para Win10 100-240V,https://www.ebay.com/itm/14-LED-HD-Pantalla-Laptop-Quad-core-Netbook-2G-32G-64-bit-para-Win10-100-240V/173650973915?epid=28029939023&hash=item286e6794db:g:iswAAOSwN5hb872e,USD205.68
Microsoft Pro 6-Core i7 Surface 8650U - 8GB Ram - 256 GB-Negro (LQH-00016),https://www.ebay.com/itm/Microsoft-Surface-Pro-6-Core-i7-8650U-8GB-RAM-256-GB-Black-LQH-00016/333120154435?hash=item4d8f822b43:g:JKEAAOSw4ylcjZzp,USD1 289.00
"ANUNCIO NUEVODell Latitude E6230 12.5"" Computadora portátil | 3.00GHz Dual Core i7-3540M | 4gb DDR3",https://www.ebay.com/itm/Dell-Latitude-E6230-12-5-Laptop-3-00GHz-Dual-Core-i7-3540M-4gb-DDR3/132994106340?epid=129823921&hash=item1ef71103e4:g:LC4AAOSw4LVcj~p3,USD146.99
